product_name,category,rating,rating_count,discounted_price,actual_price
"Eureka Forbes car Vac 100 Watts Powerful Suction Vacuum Cleaner with Washable HEPA Filter, 3 Accessories,Compact,Light Weight & Easy to use (Black and Red)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",|,992,"₹2,099","₹2,499"
Eveready Red 1012 AAA Batteries - Pack of 10,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,4.3,989,₹159,₹180
Sennheiser CX 80S in-Ear Wired Headphones with in-line One-Button Smart Remote with Microphone Black,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",4.1,"98,250","₹1,490","₹1,990"
"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant Noodles, Soup, 1500 Watt with Auto Shut- off Feature - (Silver)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,3.7,976,₹809,"₹1,545"
"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.3,974,₹389,"₹1,099"
"Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31s M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (1M, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.3,974,₹339,"₹1,099"
"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.3,974,₹389,"₹1,099"
boAt Rockerz 400 Bluetooth On Ear Headphones With Mic With Upto 8 Hours Playback & Soft Padded Ear Cushions(Grey/Green),"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",4.1,"97,175","₹1,399","₹2,990"
boAt Rockerz 400 Bluetooth On Ear Headphones With Mic With Upto 8 Hours Playback & Soft Padded Ear Cushions(Grey/Green),"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",4.1,"97,174","₹1,399","₹2,990"
"Kitchenwell 18Pc Plastic Food Snack Bag Pouch Clip Sealer for Keeping Food Fresh for Home, Kitchen, Camping Snack Seal Sealing Bag Clips (Multi-Color) | (Pack of 18)|",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,4.0,97,₹79,₹79
